n,N,bound of B.3,bound of B.4,k
10,20,1,0,0
10,21,0,0,0
10,22,0,0,0
10,23,0,0,0
10,24,0,0,0
10,25,0,0,0
10,26,0,0,0
10,27,0,0,0
10,28,0,0,0
10,29,0,0,0
10,30,0,0,0
10,31,0,0,0
10,32,0,0,0
10,33,0,0,0
10,34,0,0,0
10,35,0,0,0
10,36,0,0,0
10,37,0,0,0
10,38,0,0,0
10,39,0,0,0
10,40,0,0,0
10,41,0,0,0
10,42,0,0,0
10,43,0,0,0
10,44,0,0,0
10,45,0,0,0
10,46,0,0,0
10,47,0,0,0
10,48,0,0,0
10,49,0,0,0
10,50,0,0,0
32,51,2,1,1
32,52,2,1,1
32,53,2,1,1
32,54,2,1,1
32,55,2,1,1
32,56,2,0,0
32,57,2,0,0
32,58,2,1,1
32,59,2,1,1
32,60,2,1,1
32,61,2,1,1
32,62,2,1,1
32,63,2,1,1
32,64,2,1,1
32,65,1,0,0
32,66,1,0,0
32,67,1,0,0
32,68,1,0,0
32,69,1,0,0
32,70,1,1,1
32,71,1,1,1
32,72,1,1,1
32,73,2,0,0
32,74,2,0,0
32,75,2,0,0
32,76,2,0,0
32,77,1,0,0
32,78,1,0,0
32,79,1,0,0
32,80,2,0,0
32,81,2,0,0
32,82,2,0,0
32,83,2,0,0
32,84,2,0,0
32,85,2,0,0
32,86,2,0,0
32,87,2,0,0
32,88,2,0,0
32,89,2,0,0
32,90,2,0,0
32,91,2,0,0
32,92,2,0,0
32,93,2,0,0
32,94,2,0,0
32,95,2,0,0
32,96,2,0,0
32,97,2,0,0
32,98,2,0,0
32,99,2,0,0
50,100,2,2,2
50,101,3,2,2
50,102,3,2,2
50,103,3,2,2
50,104,3,1,1
50,105,3,2,2
50,106,2,2,2
50,107,2,2,2
50,108,2,2,2
50,109,2,2,2
50,110,2,2,2
50,111,2,2,2
50,112,3,2,2
50,113,2,2,2
50,114,2,1,1
50,115,2,1,1
50,116,2,2,2
50,117,2,2,2
50,118,2,2,2
50,119,2,2,2
50,120,3,2,2
50,121,3,2,2
50,122,3,2,2
50,123,3,2,2
50,124,3,1,1
50,125,3,1,1
50,126,3,1,1
50,127,3,1,1
50,128,3,2,2
50,129,3,2,2
50,130,3,2,2
50,131,3,2,2
50,132,3,2,2
50,133,3,1,1
50,134,3,1,1
50,135,3,1,1
50,136,3,1,1
50,137,3,1,1
50,138,3,1,1
