n,N,bound of B.3,bound of B.4,k
35,40,2,2,2
35,41,2,2,2
35,42,2,1,1
35,43,2,1,1
35,44,2,1,1
35,45,2,1,1
35,46,2,1,1
35,47,2,2,2
35,48,2,1,1
35,49,2,1,1
35,50,2,1,1
35,51,2,1,1
35,52,2,1,1
35,53,2,1,1
35,54,2,1,1
35,55,2,1,1
35,56,2,1,1
35,57,2,1,1
35,58,2,1,1
35,59,2,1,1
35,60,2,1,1
47,61,2,2,2
47,62,2,2,2
47,63,2,2,2
47,64,2,2,2
47,65,2,2,2
47,66,2,2,2
47,67,2,2,2
47,68,2,2,2
47,69,2,2,2
47,70,2,2,2
47,71,2,2,2
47,72,2,2,2
47,73,2,2,2
47,74,2,2,2
47,75,2,2,2
47,76,2,2,2
47,77,2,2,2
47,78,2,2,2
47,79,2,2,2
47,80,3,2,2
49,81,3,2,2
49,82,3,2,2
49,83,3,2,2
49,84,3,2,2
49,85,3,2,2
49,86,3,2,2
49,87,3,2,2
49,88,3,2,2
49,89,3,2,2
49,90,3,2,2
49,91,3,2,2
49,92,3,2,2
49,93,3,2,2
49,94,3,2,2
49,95,3,2,2
49,96,3,2,2
49,97,3,2,2
49,98,2,2,2
49,99,3,2,2
49,100,3,2,2
64,101,3,3,3
64,102,3,3,3
64,103,3,3,3
64,104,3,3,3
64,105,3,3,3
64,106,3,3,3
64,107,3,3,3
64,108,3,3,3
64,109,3,3,3
64,110,3,3,3
64,111,3,3,3
64,112,3,3,3
64,113,3,3,3
64,114,3,3,3
64,115,3,3,3
64,116,3,3,3
64,117,3,3,3
64,118,3,3,3
64,119,3,3,3
64,120,3,3,3
64,121,3,3,3
64,122,3,3,3
64,123,3,3,3
64,124,3,3,3
64,125,3,3,3
64,126,3,3,3
64,127,3,3,3
64,128,3,3,3
64,129,3,3,3
64,130,3,3,3
64,131,3,3,3
64,132,3,3,3
64,133,3,3,3
64,134,3,3,3
64,135,3,3,3
64,136,3,3,3
64,137,3,3,3
64,138,3,2,2
64,139,3,2,2
64,140,3,3,3
64,141,3,3,3
64,142,3,3,3
64,143,3,3,3
64,144,3,3,3
64,145,3,3,3
64,146,3,3,3
64,147,3,2,2
64,148,3,2,2
64,149,3,2,2
64,150,3,2,2
64,151,3,3,3
64,152,3,3,3
64,153,3,3,3
64,154,3,3,3
64,155,3,3,3
64,156,3,3,3
64,157,3,2,2
64,158,3,2,2
64,159,3,2,2
64,160,4,2,2
64,161,4,2,2
64,162,4,2,2
64,163,4,3,3
64,164,4,3,3
64,165,4,3,3
64,166,4,3,3
64,167,4,2,2
64,168,3,2,2
64,169,3,2,2
64,170,3,2,2
64,171,3,2,2
64,172,3,2,2
64,173,3,2,2
64,174,3,3,3
64,175,3,3,3
64,176,3,2,2
64,177,3,2,2
64,178,3,2,2
64,179,3,2,2
64,180,3,2,2
64,181,3,2,2
64,182,3,2,2
64,183,3,2,2
64,184,3,2,2
64,185,3,2,2
64,186,3,2,2
64,187,3,2,2
64,188,3,2,2
64,189,3,2,2
64,190,3,2,2
64,191,3,2,2
64,192,3,2,2
64,193,3,2,2
64,194,3,2,2
64,195,3,2,2
64,196,3,2,2
64,197,3,2,2
64,198,3,2,2
64,199,3,2,2
64,200,4,2,2
67,201,4,3,3
67,202,4,3,3
67,203,4,3,3
67,204,4,3,3
67,205,4,2,2
67,206,4,2,2
67,207,4,2,2
67,208,4,2,2
67,209,4,3,3
67,210,4,3,3
67,211,4,3,3
67,212,4,3,3
67,213,4,3,3
67,214,4,3,3
67,215,4,2,2
67,216,4,2,2
67,217,4,2,2
67,218,4,2,2
67,219,4,2,2
67,220,4,2,2
67,221,4,3,3
67,222,3,3,3
67,223,3,3,3
67,224,3,3,3
67,225,3,2,2
67,226,3,2,2
67,227,3,2,2
67,228,3,2,2
67,229,4,2,2
67,230,4,2,2
67,231,4,2,2
67,232,3,3,3
67,233,3,3,3
67,234,3,3,3
67,235,3,3,3
67,236,3,2,2
67,237,3,2,2
67,238,3,2,2
67,239,3,2,2
67,240,4,2,2
67,241,4,2,2
67,242,4,2,2
67,243,4,2,2
67,244,4,3,3
67,245,4,3,3
67,246,4,2,2
67,247,4,2,2
67,248,4,2,2
67,249,4,2,2
67,250,4,2,2
67,251,4,2,2
67,252,4,2,2
67,253,4,2,2
67,254,4,2,2
67,255,4,3,3
67,256,4,2,2
67,257,4,2,2
67,258,4,2,2
67,259,4,2,2
67,260,4,2,2
67,261,4,2,2
67,262,4,2,2
67,263,4,2,2
67,264,3,2,2
67,265,3,2,2
67,266,3,2,2
67,267,3,2,2
67,268,3,2,2
67,269,3,2,2
67,270,3,2,2
67,271,4,3,3
67,272,4,3,3
67,273,3,3,3
67,274,3,3,3
67,275,3,3,3
67,276,3,3,3
67,277,3,3,3
67,278,3,3,3
67,279,3,3,3
67,280,4,3,3
67,281,4,3,3
67,282,4,3,3
67,283,4,3,3
67,284,4,3,3
67,285,4,3,3
67,286,4,3,3
67,287,4,3,3
67,288,4,3,3
67,289,4,3,3
67,290,4,3,3
67,291,4,3,3
67,292,4,3,3
67,293,4,3,3
67,294,4,3,3
67,295,4,3,3
67,296,4,3,3
67,297,4,3,3
67,298,4,3,3
67,299,4,3,3
67,300,4,3,3
81,301,4,4,4
81,302,4,4,4
81,303,4,4,4
81,304,4,4,4
81,305,4,4,4
81,306,4,4,4
81,307,4,4,4
81,308,4,4,4
81,309,4,4,4
81,310,4,4,4
81,311,4,4,4
81,312,4,4,4
81,313,4,4,4
81,314,4,4,4
81,315,4,4,4
81,316,4,4,4
81,317,4,4,4
81,318,4,4,4
81,319,4,4,4
81,320,4,4,4
81,321,4,4,4
81,322,4,4,4
81,323,4,4,4
81,324,4,4,4
81,325,4,4,4
81,326,4,4,4
81,327,4,4,4
81,328,4,4,4
81,329,4,4,4
81,330,4,4,4
81,331,4,4,4
81,332,4,4,4
81,333,4,4,4
81,334,4,4,4
81,335,4,4,4
81,336,4,4,4
81,337,4,4,4
81,338,4,4,4
81,339,4,4,4
81,340,4,4,4
81,341,4,4,4
81,342,4,4,4
81,343,4,4,4
81,344,4,4,4
81,345,4,4,4
81,346,4,4,4
81,347,4,4,4
81,348,4,4,4
81,349,4,4,4
81,350,4,4,4
81,351,4,4,4
81,352,4,4,4
81,353,4,4,4
81,354,4,4,4
81,355,4,4,4
81,356,4,4,4
81,357,4,4,4
81,358,4,4,4
81,359,4,4,4
81,360,4,4,4
81,361,4,4,4
81,362,4,4,4
81,363,4,4,4
81,364,4,4,4
81,365,4,4,4
81,366,4,4,4
81,367,4,4,4
81,368,4,4,4
81,369,4,4,4
81,370,4,4,4
81,371,4,4,4
81,372,4,4,4
81,373,4,4,4
81,374,4,4,4
81,375,4,4,4
81,376,4,4,4
81,377,4,4,4
81,378,4,4,4
81,379,4,4,4
81,380,4,4,4
81,381,4,3,3
81,382,4,3,3
81,383,4,4,4
81,384,4,4,4
81,385,4,4,4
81,386,4,4,4
81,387,4,4,4
81,388,4,4,4
81,389,4,4,4
81,390,4,4,4
81,391,4,4,4
81,392,4,3,3
81,393,4,3,3
81,394,4,4,4
81,395,4,4,4
81,396,4,4,4
81,397,4,4,4
81,398,4,4,4
81,399,4,4,4
81,400,4,4,4
